"File","Line","Kind","AttrArgs","PropertyType","Property","Field"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroup.cs","115","Property","nameof(DXO10CUI.BackstageGroup.GetStyle)","String?","GetStyle","_GetStyle"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroup.cs","122","Property","nameof(DXO10CUI.BackstageGroup.HelperText)","String?","HelperText","_HelperText"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroup.cs","129","Property","nameof(DXO10CUI.BackstageGroup.GetHelperText)","String?","GetHelperText","_GetHelperText"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroup.cs","136","Property","nameof(DXO10CUI.BackstageGroup.ShowLabel)","Boolean?","ShowLabel","_ShowLabel"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroup.cs","143","Property","nameof(DXO10CUI.BackstageGroup.GetShowLabel)","String?","GetShowLabel","_GetShowLabel"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroupButton.cs","16","Property","nameof(DXO10CUI.BackstageGroupButton.Expand)","Expand?","Expand","_Expand"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroupButton.cs","23","Property","nameof(DXO10CUI.BackstageGroupButton.Style)","Style2?","Style","_Style"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroupButton.cs","30","Property","nameof(DXO10CUI.BackstageGroupButton.Screentip)","String?","Screentip","_Screentip"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroupButton.cs","37","Property","nameof(DXO10CUI.BackstageGroupButton.GetScreentip)","String?","GetScreentip","_GetScreentip"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroupButton.cs","44","Property","nameof(DXO10CUI.BackstageGroupButton.Supertip)","String?","Supertip","_Supertip"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroupButton.cs","51","Property","nameof(DXO10CUI.BackstageGroupButton.GetSupertip)","String?","GetSupertip","_GetSupertip"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\CustomUI\BackstageGroupButton.cs","58","Property","nameof(DXO10CUI.BackstageGroupButton.Id)","String?","Id","_Id"
