"File","DeclaringType","Property","Kind","Line"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualGroupShapeDrawingProperties.cs","NonVisualGroupShapeDrawingProperties","NonVisualGroupDrawingShapePropsExtensionList","Property","21"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualGroupShapeProperties.cs","NonVisualGroupShapeProperties","NonVisualDrawingProperties","Property","14"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualGroupShapeProperties.cs","NonVisualGroupShapeProperties","NonVisualGroupShapeDrawingProperties","Property","21"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualPictureDrawingProperties.cs","NonVisualPictureDrawingProperties","NonVisualPicturePropertiesExtensionList","Property","28"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualPictureDrawingProperties.cs","NonVisualPictureDrawingProperties","PictureLocks","Property","21"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualPictureDrawingProperties.cs","NonVisualPictureDrawingProperties","PreferRelativeResize","Property","14"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualPictureProperties.cs","NonVisualPictureProperties","NonVisualDrawingProperties","Property","14"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualPictureProperties.cs","NonVisualPictureProperties","NonVisualPictureDrawingProperties","Property","21"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualShapeDrawingProperties.cs","NonVisualShapeDrawingProperties","ShapeLocks","Property","21"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualShapeDrawingProperties.cs","NonVisualShapeDrawingProperties","TextBox","Property","14"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualShapeProperties.cs","NonVisualShapeProperties","NonVisualDrawingProperties","Property","14"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Non-visual properties\NonVisualShapeProperties.cs","NonVisualShapeProperties","NonVisualShapeDrawingProperties","Property","21"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Visual properties and styling\Style.cs","Style","EffectReference","Property","28"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Visual properties and styling\Style.cs","Style","FillReference","Property","21"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Visual properties and styling\Style.cs","Style","FontReference","Property","35"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Visual properties and styling\Style.cs","Style","LineReference","Property","14"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Visual properties and styling\Transform.cs","Transform","Extents","Property","42"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Visual properties and styling\Transform.cs","Transform","HorizontalFlip","Property","21"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Visual properties and styling\Transform.cs","Transform","Offset","Property","35"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Visual properties and styling\Transform.cs","Transform","Rotation","Property","14"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawing\Visual properties and styling\Transform.cs","Transform","VerticalFlip","Property","28"
"D:\OneDrive\VS\Projects\DocxDocument\DocumentModel.InOpenXml\Drawings.ChartDrawings\Address.cs","Address","Address1","Property","23"
